Epoch: 156, TL: -0.30699794823791765, VL: -0.25767165422439575, TA: 0.3075, VA: 0.265
Epoch: 157, TL: -0.3093476253562636, VL: -0.2508558928966522, TA: 0.3125, VA: 0.255
Epoch: 158, TL: -0.3096336254519832, VL: -0.24717910587787628, TA: 0.31125, VA: 0.245
Epoch: 159, TL: -0.319988099823134, VL: -0.24463166296482086, TA: 0.32125, VA: 0.245
Epoch: 160, TL: -0.31725454053786106, VL: -0.25577643513679504, TA: 0.31875, VA: 0.26
Epoch: 161, TL: -0.3157088098532226, VL: -0.23804818093776703, TA: 0.31625, VA: 0.24
Epoch: 162, TL: -0.3054239125009844, VL: -0.21263724565505981, TA: 0.30625, VA: 0.21
Epoch: 163, TL: -0.29663420667054147, VL: -0.22547613084316254, TA: 0.2975, VA: 0.225
Epoch: 164, TL: -0.29437045817586427, VL: -0.2766280174255371, TA: 0.29625, VA: 0.275
Epoch: 165, TL: -0.3024336384068152, VL: -0.25368866324424744, TA: 0.305, VA: 0.255
Epoch: 166, TL: -0.302572189338513, VL: -0.2647373080253601, TA: 0.30375, VA: 0.265
Epoch: 167, TL: -0.2928608574494058, VL: -0.25457125902175903, TA: 0.2925, VA: 0.255
Epoch: 168, TL: -0.30377392649341106, VL: -0.265834778547287, TA: 0.305, VA: 0.265
Epoch: 169, TL: -0.2983888071118017, VL: -0.23479197919368744, TA: 0.3, VA: 0.23
Epoch: 170, TL: -0.3063693613590683, VL: -0.2506697177886963, TA: 0.31, VA: 0.25
Epoch: 171, TL: -0.3025338599314743, VL: -0.24367934465408325, TA: 0.30125, VA: 0.245
Epoch: 172, TL: -0.31282915430748015, VL: -0.2558194398880005, TA: 0.315, VA: 0.255
Epoch: 173, TL: -0.304180926694507, VL: -0.2172027975320816, TA: 0.305, VA: 0.215
Epoch: 174, TL: -0.3057950165075011, VL: -0.25830379128456116, TA: 0.305, VA: 0.26
Epoch: 175, TL: -0.3116211219568346, VL: -0.24092306196689606, TA: 0.3125, VA: 0.24
Epoch: 176, TL: -0.300550452758167, VL: -0.22444196045398712, TA: 0.3, VA: 0.225
Epoch: 177, TL: -0.31840640818863614, VL: -0.2771048843860626, TA: 0.32, VA: 0.275
Epoch: 178, TL: -0.3187192535830347, VL: -0.23908250033855438, TA: 0.31875, VA: 0.235
Epoch: 179, TL: -0.3159258384300017, VL: -0.24190638959407806, TA: 0.315, VA: 0.24
Epoch: 180, TL: -0.344644897917855, VL: -0.22683541476726532, TA: 0.34625, VA: 0.225
Epoch: 181, TL: -0.3147683684849007, VL: -0.2143913209438324, TA: 0.31625, VA: 0.215
Epoch: 182, TL: -0.30120035656371674, VL: -0.2664731442928314, TA: 0.30125, VA: 0.265
Epoch: 183, TL: -0.3206612332585299, VL: -0.2344832569360733, TA: 0.32, VA: 0.235
Epoch: 184, TL: -0.324668377832885, VL: -0.2679108679294586, TA: 0.32375, VA: 0.27
Epoch: 185, TL: -0.32175794061079827, VL: -0.2723182737827301, TA: 0.32125, VA: 0.275
Epoch: 186, TL: -0.321792731771263, VL: -0.28428658843040466, TA: 0.32375, VA: 0.285
Epoch: 187, TL: -0.300983897459089, VL: -0.2359868735074997, TA: 0.30125, VA: 0.24
Epoch: 188, TL: -0.30259311070571043, VL: -0.24695931375026703, TA: 0.3025, VA: 0.245
Epoch: 189, TL: -0.332122316991424, VL: -0.23157654702663422, TA: 0.33125, VA: 0.23
Epoch: 190, TL: -0.3236584643275788, VL: -0.2604059875011444, TA: 0.32375, VA: 0.26
Epoch: 191, TL: -0.32140649263970417, VL: -0.2562445104122162, TA: 0.32125, VA: 0.26
Epoch: 192, TL: -0.3016372520039898, VL: -0.25864553451538086, TA: 0.3025, VA: 0.26
Epoch: 193, TL: -0.29145706518782805, VL: -0.23506785929203033, TA: 0.2925, VA: 0.235
Epoch: 194, TL: -0.31120718605880826, VL: -0.2515464425086975, TA: 0.31125, VA: 0.25
Epoch: 195, TL: -0.3046633198959813, VL: -0.2731444239616394, TA: 0.30625, VA: 0.27
Epoch: 196, TL: -0.317846700877918, VL: -0.20815110206604004, TA: 0.31875, VA: 0.205
Epoch: 197, TL: -0.3374162923461641, VL: -0.2643539309501648, TA: 0.335, VA: 0.265
Epoch: 198, TL: -0.29939073952680234, VL: -0.25097936391830444, TA: 0.3, VA: 0.25
Epoch: 199, TL: -0.29930883796873664, VL: -0.2759379744529724, TA: 0.3, VA: 0.275
Epoch: 200, TL: -0.31507134699759065, VL: -0.2648259401321411, TA: 0.3175, VA: 0.27
Epoch: 201, TL: -0.32699844736642475, VL: -0.2570492625236511, TA: 0.3275, VA: 0.26
Epoch: 202, TL: -0.33830417858906325, VL: -0.27338045835494995, TA: 0.33875, VA: 0.275
Epoch: 203, TL: -0.27750561168327453, VL: -0.2222493290901184, TA: 0.27875, VA: 0.22
Epoch: 204, TL: -0.33010506781601295, VL: -0.25769826769828796, TA: 0.33125, VA: 0.25
Epoch: 205, TL: -0.30717205268004105, VL: -0.24215732514858246, TA: 0.30625, VA: 0.24
Epoch: 206, TL: -0.3111974869506845, VL: -0.2556159198284149, TA: 0.31125, VA: 0.26
Epoch: 207, TL: -0.3172419403258095, VL: -0.22830896079540253, TA: 0.31625, VA: 0.225
Epoch: 208, TL: -0.3297000249238316, VL: -0.26251140236854553, TA: 0.32875, VA: 0.265
Epoch: 209, TL: -0.32830073820168004, VL: -0.17460325360298157, TA: 0.3275, VA: 0.175
Epoch: 210, TL: -0.3020805503186769, VL: -0.24176593124866486, TA: 0.30375, VA: 0.24
Epoch: 211, TL: -0.3256820593267703, VL: -0.2804984152317047, TA: 0.32625, VA: 0.28
